ID,Name,PointID,Type,ReferenceAltitude,TypeOfAltitude,Diameter,FilterTop,FilterBase,Depth
0,G01,0,Well,119.49,Top Case,1,1,13,14
1,G04,3,Well,119.19,Top Case,1,1,13,14
2,G04neu,4,Well,120.09,Top Case,1,8,14,15.1
3,G10,6,Well,119.29,Top Case,1,1,13,14
4,G11,7,Well,116.95,Top Case,1,1,13,14
5,G12,8,Well,116.57,Top Case,1,1,13,14
6,G13,9,Well,116.97,Top Case,1,1,13,14
7,G15,10,Well,116.08,Top Case,1,1,13,14
8,G15neu,11,Well,117,Top Case,1,6,13,14
9,G17,12,Well,115.72,Top Case,1,1,13,14
10,G17neu,13,Well,115.92,Top Case,2,6,13,14
11,G19,14,Well,115.54,Top Case,1,1,13,14
12,G21,15,Well,115.56,Top Case,1,1,13,14
13,G21neu,16,Well,116.46,Top Case,1,6,14,15
14,G23,17,Well,119.07,Top Case,1,1,13,14
15,G24,18,Well,119.56,Top Case,1,7.5,12.5,13.5
16,G25,19,Well,119.99,Top Case,1,6.9,12.9,13.9
17,G26,20,Well,120.17,Top Case,1,7.6,11.6,12.6
18,G27,21,Well,118.33,Top Case,1,6,14,15.1
19,G28,22,Well,118.08,Top Case,1,6,14,15.1
20,G29,23,Well,120.14,Top Case,1,7.4,11.4,12.4
21,G30,24,Well,118.89,Top Case,1,6,12,13
22,GWM01,25,Well,118.23,Top Case,5,10,13,14
23,GWM02,26,Well,117.98,Top Case,5,10,13,14
24,GWM03,27,Well,117.88,Top Case,5,10,13,14
25,GWM04,28,Well,117.91,Top Case,5,10,13,14
26,GWM05,29,Well,117.87,Top Case,5,10,13,14
27,GWM06,30,Well,117.93,Top Case,5,10,13,14
28,GWM07,31,Well,117.87,Top Case,5,10,13,14
29,P12,32,Well,117.9,Top Case,1,5.8,13.8,14.8
30,RG,33,River Gage,108.006,Level Zero,NA,NA,NA,NA
