ID,Name,Type,DescriptionData,MonitoringPoint,DrillingTest,Depth,E,N
0,D-G01,Drill,0,1,1,14,13.92265721,50.96582745
1,D-G02,Drill,0,0,1,14,13.92291804,50.96581996
2,D-G03,Drill,0,0,1,14,13.92315957,50.96584017
3,D-G04,Drill,0,1,1,14,13.92342632,50.96584757
4,D-G04neu,Drill,0,1,0,15.1,13.92341607,50.96584748
5,D-G05,Drill,0,0,1,14,13.92267359,50.96592558
6,D-G10,Drill,0,1,1,14,13.9233107,50.96607079
7,D-G11,Drill,0,1,1,14,13.92386758,50.96573208
8,D-G12,Drill,0,1,1,14,13.92328979,50.96567543
9,D-G13,Drill,0,1,1,14,13.92281569,50.9656413
10,D-G15,Drill,0,1,1,14,13.92417251,50.96559609
11,D-G15neu,Drill,0,1,0,14,13.92283694,50.96558379
12,D-G17,Drill,0,1,1,14,13.92363433,50.96550735
13,D-G17neu,Drill,0,1,0,14,13.92365425,50.96550754
14,D-G19,Drill,0,1,1,14,13.9231591,50.96542963
15,D-G21,Drill,0,1,0,14,13.92263066,50.96533172
16,D-G21neu,Drill,0,1,0,15,13.92261074,50.96533153
17,D-G23,Drill,0,1,0,14,13.92242766,50.96618185
18,D-G24,Drill,0,1,0,13.5,,
19,D-G25,Drill,0,1,0,13.9,,
20,D-G26,Drill,0,1,0,12.6,,
21,D-G27,Drill,0,1,0,15.1,13.92487026,50.9657413
22,D-G28,Drill,0,1,0,15.1,13.92452441,50.96573812
23,D-G29,Drill,0,1,0,12.4,,
24,D-G30,Drill,0,1,0,13,,
25,D-GWM1,Drill,1,1,0,14,13.92375006,50.9659623
26,D-GWM2,Drill,1,1,0,14,13.92377406,50.9659053
27,D-GWM3,Drill,1,1,0,14,13.92376407,50.9658583
28,D-GWM4,Drill,1,1,0,14,13.92383005,50.9658703
29,D-GWM5,Drill,1,1,0,14,13.92377805,50.9658123
30,D-GWM6,Drill,1,1,0,14,13.92382906,50.9658263
31,D-GWM7,Drill,1,1,0,14,13.92390906,50.9658493
32,D-P12,Drill,0,1,0,14.8,13.92386906,50.9658378
33,C-RG,River Gage,1,1,NA,NA,13.92975382,50.96458617
