WellID,CaseHeight,Type,Diameter,Depth,FilterTop,FilterBase,E,N
G01,119.49,Well,1,14,1,13,13.92265721,50.96582745
G02,118.83,Drilling,1,14,,,13.92291804,50.96581996
G03,118.73,Drilling,1,14,,,13.92315957,50.96584017
G04,119.19,Well,1,14,1,13,13.92342632,50.96584757
G04neu,120.09,Well,1,14,6,13,13.92341607,50.96584748
G05,118.94,Drilling,1,14,,,13.92267359,50.96592558
G10,119.29,Well,1,14,1,13,13.9233107,50.96607079
G11,116.95,Well,1,14,1,13,13.92386758,50.96573208
G12,116.57,Well,1,14,1,13,13.92328979,50.96567543
G13,116.97,Well,1,14,1,13,13.92281569,50.9656413
G15,116.08,Well,1,14,1,13,13.92417251,50.96559609
G15neu,117,Well,1,14,6,13,13.92283694,50.96558379
G17,115.72,Well,1,14,1,13,13.92363433,50.96550735
G17neu,115.92,Well,2,14,6,13,13.92365425,50.96550754
G19,115.54,Well,1,14,1,13,13.9231591,50.96542963
G21,115.56,Well,1,14,1,13,13.92263066,50.96533172
G21neu,116.46,Well,1,14,6,13,13.92261074,50.96533153
G23,119.07,Well,1,14,1,13,13.92242766,50.96618185
G24,119.56,Well,1,14,6,13,,
G25,119.99,Well,1,14,6,13,,
G26,120.17,Well,1,14,6,13,,
G27,118.33,Well,1,14,6,13,13.92487026,50.9657413
G28,118.08,Well,1,14,6,13,13.92452441,50.96573812
G29,120.14,Well,1,14,6,13,,
G30,118.89,Well,1,14,6,13,,
GWM1,118.23,Well,5,14,10,13,13.92375006,50.9659623
GWM2,117.98,Well,5,14,10,13,13.92377406,50.9659053
GWM3,117.88,Well,5,14,10,13,13.92376407,50.9658583
GWM4,117.91,Well,5,14,10,13,13.92383005,50.9658703
GWM5,117.87,Well,5,14,10,13,13.92377805,50.9658123
GWM6,117.93,Well,5,14,10,13,13.92382906,50.9658263
GWM7,117.87,Well,5,14,10,13,13.92390906,50.9658493
P12,117.9,Well,5,14,10,13,13.92386906,50.9658378
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
distance,,,,,,,,
G26,corner of building,17.6,,,,,,
,g1,24.2,,,,,,
,g10,43.8,,,,,,
,,,,,,,,
g29,g23,28.8,,,,,,
,corner site,3.4,,,,,,
,,,,,,,,
g30,corner building,14.45,,,,,,
,,,,,,,,
g24,light,3.74,,,,,,
,corner gate,3.15,,,,,,
,,,,,,,,
G25,corner building,5.3,,,,,,
