ID,Name,DrillID,CaseHeight,Diameter,FilterTop,FilterBase,Depth
0,G01,0,119.49,1,1,13,14
1,G04,3,119.19,1,1,13,14
2,G04neu,4,120.09,1,8,14,15.1
3,G10,6,119.29,1,1,13,14
4,G11,7,116.95,1,1,13,14
5,G12,8,116.57,1,1,13,14
6,G13,9,116.97,1,1,13,14
7,G15,10,116.08,1,1,13,14
8,G15neu,11,117,1,6,13,14
9,G17,12,115.72,1,1,13,14
10,G17neu,13,115.92,2,6,13,14
11,G19,14,115.54,1,1,13,14
12,G21,15,115.56,1,1,13,14
13,G21neu,16,116.46,1,6,14,15
14,G23,17,119.07,1,1,13,14
15,G24,18,119.56,1,7.5,12.5,13.5
16,G25,19,119.99,1,6.9,12.9,13.9
17,G26,20,120.17,1,7.6,11.6,12.6
18,G27,21,118.33,1,6,14,15.1
19,G28,22,118.08,1,6,14,15.1
20,G29,23,120.14,1,7.4,11.4,12.4
21,G30,24,118.89,1,6,12,13
22,GWM01,25,118.23,5,10,13,14
23,GWM02,26,117.98,5,10,13,14
24,GWM03,27,117.88,5,10,13,14
25,GWM04,28,117.91,5,10,13,14
26,GWM05,29,117.87,5,10,13,14
27,GWM06,30,117.93,5,10,13,14
28,GWM07,31,117.87,5,10,13,14
29,P12,32,117.9,1,5.8,13.8,14.8
